Process_all,Process_name,Region,General_information,Unit,count_excel,Process_info_withoutregion,count_all_excel
"petroleum combustion, in drilling tests//[GLO] market for petroleum combustion, in drilling tests","petroleum combustion, in drilling tests",[GLO],"market for petroleum combustion, in drilling tests",kg,2,"petroleum combustion, in drilling tests_market for petroleum combustion, in drilling tests",1
petroleum//[GLO] market for petroleum,petroleum,[GLO],market for petroleum,kg,14,petroleum_market for petroleum,1
phacelia silage//[GLO] market for phacelia silage,phacelia silage,[GLO],market for phacelia silage,kg,4,phacelia silage_market for phacelia silage,1
phenol//[GLO] market for phenol,phenol,[GLO],market for phenol,kg,3,phenol_market for phenol,1
phenolic resin//[GLO] market for phenolic resin,phenolic resin,[GLO],market for phenolic resin,kg,3,phenolic resin_market for phenolic resin,1
phenoxy-compound//[GLO] market for phenoxy-compound,phenoxy-compound,[GLO],market for phenoxy-compound,kg,3,phenoxy-compound_market for phenoxy-compound,1
phenyl acetic acid//[GLO] market for phenyl acetic acid,phenyl acetic acid,[GLO],market for phenyl acetic acid,kg,3,phenyl acetic acid_market for phenyl acetic acid,1
phenyl isocyanate//[GLO] market for phenyl isocyanate,phenyl isocyanate,[GLO],market for phenyl isocyanate,kg,3,phenyl isocyanate_market for phenyl isocyanate,1
"phosgene, liquid//[RER] market for phosgene, liquid","phosgene, liquid",[RER],"market for phosgene, liquid",kg,4,"phosgene, liquid_market for phosgene, liquid",2
phosphane//[GLO] market for phosphane,phosphane,[GLO],market for phosphane,kg,2,phosphane_market for phosphane,1
"phosphate fertiliser, as P2O5//[GLO] market for phosphate fertiliser, as P2O5","phosphate fertiliser, as P2O5",[GLO],"market for phosphate fertiliser, as P2O5",kg,25,"phosphate fertiliser, as P2O5_market for phosphate fertiliser, as P2O5",1
"phosphate rock, as P2O5, beneficiated, dry//[GLO] market for phosphate rock, as P2O5, beneficiated, dry","phosphate rock, as P2O5, beneficiated, dry",[GLO],"market for phosphate rock, as P2O5, beneficiated, dry",kg,3,"phosphate rock, as P2O5, beneficiated, dry_market for phosphate rock, as P2O5, beneficiated, dry",1
"phosphate rock, as P2O5, beneficiated, wet//[GLO] market for phosphate rock, as P2O5, beneficiated, wet","phosphate rock, as P2O5, beneficiated, wet",[GLO],"market for phosphate rock, as P2O5, beneficiated, wet",kg,3,"phosphate rock, as P2O5, beneficiated, wet_market for phosphate rock, as P2O5, beneficiated, wet",1
"phosphoric acid factory, fertiliser grade//[GLO] market for phosphoric acid factory, fertiliser grade","phosphoric acid factory, fertiliser grade",[GLO],"market for phosphoric acid factory, fertiliser grade",unit,3,"phosphoric acid factory, fertiliser grade_market for phosphoric acid factory, fertiliser grade",1
"phosphoric acid, fertiliser grade, without water, in 70% solution state//[GLO] market for phosphoric acid, fertiliser grade, without water, in 70% solution state","phosphoric acid, fertiliser grade, without water, in 70% solution state",[GLO],"market for phosphoric acid, fertiliser grade, without water, in 70% solution state",kg,4,"phosphoric acid, fertiliser grade, without water, in 70% solution state_market for phosphoric acid, fertiliser grade, without water, in 70% solution state",1
"phosphoric acid, industrial grade, without water, in 85% solution state//[GLO] market for phosphoric acid, industrial grade, without water, in 85% solution state","phosphoric acid, industrial grade, without water, in 85% solution state",[GLO],"market for phosphoric acid, industrial grade, without water, in 85% solution state",kg,3,"phosphoric acid, industrial grade, without water, in 85% solution state_market for phosphoric acid, industrial grade, without water, in 85% solution state",1
phosphorous chloride//[GLO] market for phosphorous chloride,phosphorous chloride,[GLO],market for phosphorous chloride,kg,3,phosphorous chloride_market for phosphorous chloride,1
phosphorus pentachloride//[GLO] market for phosphorus pentachloride,phosphorus pentachloride,[GLO],market for phosphorus pentachloride,kg,3,phosphorus pentachloride_market for phosphorus pentachloride,1
"phosphorus, white, liquid//[GLO] market for phosphorus, white, liquid","phosphorus, white, liquid",[GLO],"market for phosphorus, white, liquid",kg,3,"phosphorus, white, liquid_market for phosphorus, white, liquid",1
phosphoryl chloride//[GLO] market for phosphoryl chloride,phosphoryl chloride,[GLO],market for phosphoryl chloride,kg,3,phosphoryl chloride_market for phosphoryl chloride,1
photovoltaic cell factory//[GLO] market for photovoltaic cell factory,photovoltaic cell factory,[GLO],market for photovoltaic cell factory,unit,3,photovoltaic cell factory_market for photovoltaic cell factory,1
"photovoltaic cell, multi-Si wafer//[GLO] market for photovoltaic cell, multi-Si wafer","photovoltaic cell, multi-Si wafer",[GLO],"market for photovoltaic cell, multi-Si wafer",m2,3,"photovoltaic cell, multi-Si wafer_market for photovoltaic cell, multi-Si wafer",1
"photovoltaic cell, ribbon-Si//[GLO] market for photovoltaic cell, ribbon-Si","photovoltaic cell, ribbon-Si",[GLO],"market for photovoltaic cell, ribbon-Si",m2,3,"photovoltaic cell, ribbon-Si_market for photovoltaic cell, ribbon-Si",1
"photovoltaic cell, single-Si wafer//[GLO] market for photovoltaic cell, single-Si wafer","photovoltaic cell, single-Si wafer",[GLO],"market for photovoltaic cell, single-Si wafer",m2,3,"photovoltaic cell, single-Si wafer_market for photovoltaic cell, single-Si wafer",1
"photovoltaic facade installation, 3kWp, multi-Si, laminated, integrated, at building//[GLO] market for photovoltaic facade installation, 3kWp, multi-Si, laminated, integrated, at building","photovoltaic facade installation, 3kWp, multi-Si, laminated, integrated, at building",[GLO],"market for photovoltaic facade installation, 3kWp, multi-Si, laminated, integrated, at building",unit,3,"photovoltaic facade installation, 3kWp, multi-Si, laminated, integrated, at building_market for photovoltaic facade installation, 3kWp, multi-Si, laminated, integrated, at building",1
"photovoltaic facade installation, 3kWp, multi-Si, panel, mounted, at building//[GLO] market for photovoltaic facade installation, 3kWp, multi-Si, panel, mounted, at building","photovoltaic facade installation, 3kWp, multi-Si, panel, mounted, at building",[GLO],"market for photovoltaic facade installation, 3kWp, multi-Si, panel, mounted, at building",unit,3,"photovoltaic facade installation, 3kWp, multi-Si, panel, mounted, at building_market for photovoltaic facade installation, 3kWp, multi-Si, panel, mounted, at building",1
"photovoltaic facade installation, 3kWp, single-Si, laminated, integrated, at building//[GLO] market for photovoltaic facade installation, 3kWp, single-Si, laminated, integrated, at building","photovoltaic facade installation, 3kWp, single-Si, laminated, integrated, at building",[GLO],"market for photovoltaic facade installation, 3kWp, single-Si, laminated, integrated, at building",unit,3,"photovoltaic facade installation, 3kWp, single-Si, laminated, integrated, at building_market for photovoltaic facade installation, 3kWp, single-Si, laminated, integrated, at building",1
"photovoltaic facade installation, 3kWp, single-Si, panel, mounted, at building//[GLO] market for photovoltaic facade installation, 3kWp, single-Si, panel, mounted, at building","photovoltaic facade installation, 3kWp, single-Si, panel, mounted, at building",[GLO],"market for photovoltaic facade installation, 3kWp, single-Si, panel, mounted, at building",unit,3,"photovoltaic facade installation, 3kWp, single-Si, panel, mounted, at building_market for photovoltaic facade installation, 3kWp, single-Si, panel, mounted, at building",1
"photovoltaic flat-roof installation, 3kWp, multi-Si, on roof//[GLO] market for photovoltaic flat-roof installation, 3kWp, multi-Si, on roof","photovoltaic flat-roof installation, 3kWp, multi-Si, on roof",[GLO],"market for photovoltaic flat-roof installation, 3kWp, multi-Si, on roof",unit,3,"photovoltaic flat-roof installation, 3kWp, multi-Si, on roof_market for photovoltaic flat-roof installation, 3kWp, multi-Si, on roof",1
"photovoltaic flat-roof installation, 3kWp, single-Si, on roof//[GLO] market for photovoltaic flat-roof installation, 3kWp, single-Si, on roof","photovoltaic flat-roof installation, 3kWp, single-Si, on roof",[GLO],"market for photovoltaic flat-roof installation, 3kWp, single-Si, on roof",unit,3,"photovoltaic flat-roof installation, 3kWp, single-Si, on roof_market for photovoltaic flat-roof installation, 3kWp, single-Si, on roof",1
"photovoltaic laminate, a-Si//[GLO] market for photovoltaic laminate, a-Si","photovoltaic laminate, a-Si",[GLO],"market for photovoltaic laminate, a-Si",m2,3,"photovoltaic laminate, a-Si_market for photovoltaic laminate, a-Si",1
"photovoltaic laminate, CdTe//[GLO] market for photovoltaic laminate, CdTe","photovoltaic laminate, CdTe",[GLO],"market for photovoltaic laminate, CdTe",m2,4,"photovoltaic laminate, CdTe_market for photovoltaic laminate, CdTe",1
"photovoltaic laminate, CIS//[GLO] market for photovoltaic laminate, CIS","photovoltaic laminate, CIS",[GLO],"market for photovoltaic laminate, CIS",m2,3,"photovoltaic laminate, CIS_market for photovoltaic laminate, CIS",1
"photovoltaic laminate, multi-Si wafer//[GLO] market for photovoltaic laminate, multi-Si wafer","photovoltaic laminate, multi-Si wafer",[GLO],"market for photovoltaic laminate, multi-Si wafer",m2,3,"photovoltaic laminate, multi-Si wafer_market for photovoltaic laminate, multi-Si wafer",1
